"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.001333800E-2,-6.269195080E-1,-8.968298912E0,8.551948547E0
2.242531700E-2,-6.269195080E-1,-9.226723671E0,8.480163574E0
2.483729600E-2,-6.412764788E-1,-9.451649666E0,8.417949677E0
2.724927500E-2,-6.939185858E-1,-9.585647583E0,8.360522270E0
2.966120200E-2,-7.465606928E-1,-9.657432556E0,8.298309326E0
3.207318200E-2,-8.135597110E-1,-9.710074425E0,8.260024071E0
3.448516100E-2,-8.709874153E-1,-9.753145218E0,8.245666504E0
3.689708800E-2,-8.853443861E-1,-9.810572624E0,8.312665939E0
3.930906700E-2,-8.614161611E-1,-9.930213928E0,8.422736168E0
4.172104600E-2,-8.422735929E-1,-1.015992451E1,8.523234367E0
4.413297300E-2,-7.657032609E-1,-1.030349445E1,8.618947029E0
4.654495200E-2,-7.896314859E-1,-1.037049294E1,8.690732002E0
4.895693200E-2,-8.566305041E-1,-1.048056316E1,8.681160927E0
5.136891100E-2,-9.379864931E-1,-1.059063339E1,8.700303078E0
5.378083800E-2,-9.332008362E-1,-1.063848972E1,8.829515457E0
5.619281700E-2,-9.092726111E-1,-1.066241741E1,9.059226990E0
5.860479600E-2,-9.858429432E-1,-1.069591713E1,9.217152596E0
6.101677500E-2,-1.071984529E0,-1.066241741E1,9.231510162E0
6.342870200E-2,-1.110269666E0,-1.065763187E1,9.131011009E0
6.584068200E-2,-1.095912814E0,-1.070548820E1,9.107083321E0
6.825266100E-2,-1.076770186E0,-1.078684425E1,9.226723671E0
7.066458800E-2,-1.028913736E0,-1.085862923E1,9.437292099E0
7.307656700E-2,-1.067198873E0,-1.091605663E1,9.643074989E0
7.548854600E-2,-1.086341500E0,-1.101177025E1,9.638289452E0
7.790047300E-2,-1.081555843E0,-1.107876873E1,9.571290970E0
8.031245200E-2,-1.115055323E0,-1.104048347E1,9.542576790E0
8.272437900E-2,-1.124626637E0,-1.096869946E1,9.604789734E0
8.513641100E-2,-1.081555843E0,-1.086820030E1,9.724431038E0
8.754833800E-2,-1.052842021E0,-1.078684425E1,9.872786522E0
