"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.912818200E-2,1.644753367E-1,6.817250848E-1,1.238986492E1
3.154016100E-2,9.972367436E-2,8.100066781E-1,1.238986492E1
3.395214000E-2,3.008509055E-2,9.370665550E-1,1.238742161E1
3.636406700E-2,-4.444041103E-2,1.059239507E0,1.238742161E1
3.877604600E-2,-1.238528341E-1,1.166751742E0,1.238619995E1
4.118802500E-2,-2.044869810E-1,1.252272844E0,1.238619995E1
4.359995200E-2,-2.936732471E-1,1.312137604E0,1.238619995E1
4.601193200E-2,-3.791943192E-1,1.352454662E0,1.238619995E1
4.842391100E-2,-4.708240330E-1,1.387884736E0,1.238619995E1
5.083589000E-2,-5.612320304E-1,1.413541079E0,1.238497829E1
5.324781700E-2,-6.516399980E-1,1.423314929E0,1.238375664E1
5.565979600E-2,-7.408262491E-1,1.406210780E0,1.238009071E1
5.807177500E-2,-8.275690675E-1,1.367115378E0,1.237764740E1
6.048375400E-2,-9.130901098E-1,1.310915828E0,1.237520409E1
6.289568200E-2,-9.937242866E-1,1.249829292E0,1.237031746E1
6.530766100E-2,-1.073136687E0,1.181412458E0,1.236665249E1
6.771964000E-2,-1.146440506E0,1.093447924E0,1.236176491E1
7.013156700E-2,-1.216079116E0,9.883792400E-1,1.235932159E1
7.254354600E-2,-1.279608965E0,8.649845123E-1,1.235565662E1
7.495552500E-2,-1.339473724E0,7.232639194E-1,1.234832573E1
7.736745200E-2,-1.393229842E0,5.693259835E-1,1.234343910E1
7.977943200E-2,-1.438433886E0,4.080576599E-1,1.233977413E1
8.219135900E-2,-1.478750944E0,2.419024557E-1,1.233366489E1
8.460339000E-2,-1.509294152E0,7.208204269E-2,1.233122158E1
8.701531700E-2,-1.533728719E0,-1.062904745E-1,1.232877827E1
8.942729600E-2,-1.544724345E0,-2.895499170E-1,1.232633495E1
9.183927500E-2,-1.547167778E0,-4.728093445E-1,1.232389164E1
9.425120200E-2,-1.543502569E0,-6.572905183E-1,1.232266998E1
9.666318200E-2,-1.526398420E0,-8.429933786E-1,1.232266998E1
9.907516100E-2,-1.498298645E0,-1.027474523E0,1.232389164E1
1.014871400E-1,-1.456759810E0,-1.218064427E0,1.232511330E1
1.038990670E-1,-1.400560260E0,-1.404989004E0,1.232755661E1
1.063110460E-1,-1.334586859E0,-1.577252865E0,1.233122158E1
1.087230250E-1,-1.261283040E0,-1.728747368E0,1.233488750E1
1.111350040E-1,-1.178205490E0,-1.860694170E0,1.233855247E1
1.135468790E-1,-1.090240955E0,-1.963319421E0,1.234343910E1
1.159589110E-1,-9.900590777E-1,-2.034179688E0,1.234832573E1
1.183708900E-1,-8.886555433E-1,-2.085492373E0,1.235199165E1
1.207828170E-1,-7.835868001E-1,-2.123365879E0,1.235443497E1
1.231947960E-1,-6.809614897E-1,-2.151465654E0,1.235687828E1
1.256067750E-1,-5.758927464E-1,-2.161239624E0,1.235932159E1
1.280187540E-1,-4.708240330E-1,-2.158796072E0,1.236054325E1
1.304306820E-1,-3.633118272E-1,-2.145357132E0,1.236298656E1
1.328426610E-1,-2.570213675E-1,-2.109926939E0,1.236176491E1
1.352546400E-1,-1.507308781E-1,-2.048840523E0,1.236054325E1
1.376666190E-1,-4.688387364E-2,-1.971871495E0,1.236054325E1
1.400784940E-1,5.574141070E-2,-1.885128736E0,1.235809994E1
1.424905250E-1,1.547015011E-1,-1.778838277E0,1.235443497E1
1.449025040E-1,2.512181401E-1,-1.653000116E0,1.235199165E1
1.473144320E-1,3.440696001E-1,-1.521053314E0,1.234954739E1
1.497263590E-1,4.308123887E-1,-1.386663079E0,1.234343910E1
1.521383900E-1,5.138899684E-1,-1.248607635E0,1.233977413E1
1.545503170E-1,5.908589363E-1,-1.110552192E0,1.233610916E1
1.569622960E-1,6.617192626E-1,-9.663881063E-1,1.233244324E1
1.593742750E-1,7.264709473E-1,-8.148936033E-1,1.232755661E1
1.617862540E-1,7.826704979E-1,-6.609556675E-1,1.232511330E1
1.641981820E-1,8.327614069E-1,-4.948004782E-1,1.232266998E1
1.666101610E-1,8.730784655E-1,-3.225366175E-1,1.232144833E1
1.690221400E-1,9.048434496E-1,-1.478292793E-1,1.231900501E1
1.714340670E-1,9.292780161E-1,3.665188700E-2,1.231900501E1
1.738460460E-1,9.427170753E-1,2.162461281E-1,1.231778240E1
1.762580250E-1,9.512691498E-1,3.872882724E-1,1.231900501E1
1.786700040E-1,9.476040006E-1,5.461131334E-1,1.232144833E1
1.810819320E-1,9.329432249E-1,6.976075768E-1,1.232266998E1
1.834939110E-1,9.121738076E-1,8.295543790E-1,1.232633495E1
1.859058900E-1,8.840740323E-1,9.492838383E-1,1.232633495E1
1.883178170E-1,8.498656154E-1,1.070235133E0,1.233244324E1
1.907297960E-1,8.095485568E-1,1.174082160E0,1.233366489E1
1.931417750E-1,7.655662894E-1,1.254716277E0,1.233488750E1
1.955537540E-1,7.179188132E-1,1.323133111E0,1.233488750E1
1.979656820E-1,6.653844714E-1,1.370780587E0,1.233610916E1
2.003776610E-1,6.091849208E-1,1.393993378E0,1.233488750E1
2.027896400E-1,5.480984449E-1,1.403767228E0,1.233366489E1
2.052015670E-1,4.857902229E-1,1.406210780E0,1.233488750E1
2.076135460E-1,4.185950756E-1,1.395215154E0,1.233244324E1
2.100255250E-1,3.501782417E-1,1.363450170E0,1.232755661E1
2.124374520E-1,2.817613780E-1,1.306028843E0,1.232389164E1
2.148494320E-1,2.145662606E-1,1.233946800E0,1.231900501E1
2.172614110E-1,1.485928595E-1,1.153312683E0,1.231533909E1
2.196733900E-1,8.628465235E-2,1.053130865E0,1.231167412E1
2.220853170E-1,2.275471389E-2,9.419534802E-1,1.230556583E1
2.244972960E-1,-3.833176568E-2,8.185588121E-1,1.230189991E1
2.269092750E-1,-9.575305134E-2,6.829468012E-1,1.229701328E1
2.293212020E-1,-1.507308781E-1,5.412262082E-1,1.228968334E1
2.317331820E-1,-2.008218020E-1,3.946186602E-1,1.228479576E1
2.341451610E-1,-2.484692484E-1,2.480110973E-1,1.227868748E1
2.365571400E-1,-2.900080681E-1,9.529490769E-2,1.227502251E1
2.389690150E-1,-3.291034102E-1,-5.253437161E-2,1.227013493E1
2.413810460E-1,-3.620901108E-1,-2.003636509E-1,1.226402664E1
2.437930250E-1,-3.901898861E-1,-3.445277214E-1,1.225914001E1
2.462050040E-1,-4.158461988E-1,-4.850266278E-1,1.225669670E1
2.486169320E-1,-4.366155863E-1,-6.145299673E-1,1.225058746E1
2.510289110E-1,-4.537198246E-1,-7.391464114E-1,1.224692249E1
2.534408900E-1,-4.647153914E-1,-8.503237963E-1,1.224570084E1
2.558528170E-1,-4.720457494E-1,-9.578359723E-1,1.224447918E1
2.582647960E-1,-4.769326746E-1,-1.055574298E0,1.224325752E1
2.606767750E-1,-4.757109582E-1,-1.137430191E0,1.224203587E1
2.630887540E-1,-4.708240330E-1,-1.204625368E0,1.224081421E1
2.655006820E-1,-4.634936452E-1,-1.265711784E0,1.223959255E1
2.679126610E-1,-4.549415410E-1,-1.324354887E0,1.223714828E1
2.703246400E-1,-4.439459741E-1,-1.392771721E0,1.223592663E1
2.727365670E-1,-4.280634820E-1,-1.462410331E0,1.223837090E1
2.751485460E-1,-4.085158110E-1,-1.527161956E0,1.223959255E1
2.775605250E-1,-3.853029609E-1,-1.584583282E0,1.223959255E1
2.799724520E-1,-3.596466482E-1,-1.626121998E0,1.224081421E1
2.823844320E-1,-3.315468729E-1,-1.643226266E0,1.224203587E1
2.847964110E-1,-3.010036349E-1,-1.642004490E0,1.224447918E1
2.872083900E-1,-2.680169344E-1,-1.624900341E0,1.224447918E1
2.896203170E-1,-2.325867712E-1,-1.602909207E0,1.224325752E1
2.920322960E-1,-2.008218020E-1,-1.571144223E0,1.224447918E1
2.944442750E-1,-1.690568328E-1,-1.528383732E0,1.224570084E1
2.968562020E-1,-1.385135949E-1,-1.475849271E0,1.224325752E1
2.992681820E-1,-1.091920808E-1,-1.397658587E0,1.223959255E1
3.016801610E-1,-7.987056673E-2,-1.287702918E0,1.223837090E1
3.040921400E-1,-5.299251899E-2,-1.156977892E0,1.223348331E1
3.065040670E-1,-3.344484791E-2,-1.015257239E0,1.223226166E1
3.089160460E-1,-1.878409274E-2,-8.613193631E-1,1.222859669E1
3.113280250E-1,-1.145371422E-2,-7.024945021E-1,1.222493172E1
3.137400040E-1,-5.345067009E-3,-5.400044918E-1,1.222126579E1
3.161519320E-1,-7.788525894E-3,-3.824013472E-1,1.221882248E1
3.185639110E-1,-1.389717404E-2,-2.272416949E-1,1.221760082E1
3.209758900E-1,-2.855792828E-2,-7.574722916E-2,1.221515751E1
3.233878170E-1,-4.932733253E-2,6.841685623E-2,1.221760082E1
3.257997960E-1,-7.376192510E-2,2.101374865E-1,1.221760082E1
3.282117750E-1,-1.030834317E-1,3.494146466E-1,1.221760082E1
3.306237020E-1,-1.385135949E-1,4.667007029E-1,1.221760082E1
