"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.239807700E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.722203600E-2,3.644319773E-1,-1.725187302E-1,1.051063538E-1
5.204594200E-2,6.057842970E-1,-2.894945145E-1,1.204957962E-1
5.686990000E-2,9.365429878E-1,-3.612937927E-1,3.187751770E-1
6.169380700E-2,1.194811583E0,-3.849964142E-1,5.274839401E-1
6.651776500E-2,1.482640982E0,-4.111251831E-1,4.091749191E-1
7.134167100E-2,1.868960500E0,-5.773887634E-1,5.970516205E-1
7.616557700E-2,2.168641567E0,-7.474431992E-1,8.599929810E-1
8.098948400E-2,2.457347870E0,-8.829078674E-1,7.583189011E-1
8.581344200E-2,2.747171164E0,-8.161888123E-1,8.457279205E-1
9.063740000E-2,3.054511309E0,-7.388191223E-1,1.069017410E0
9.546130700E-2,3.272852421E0,-6.621189117E-1,1.181595802E0
1.002852650E-1,3.657828808E0,-4.766836166E-1,1.403240204E0
1.051091710E-1,4.194235325E0,-1.764640808E-1,1.886797905E0
1.099331290E-1,4.282273769E0,-7.723236084E-2,1.968168259E0
1.147570360E-1,4.277776241E0,-7.216548920E-2,1.827549934E0
1.195809420E-1,4.346502304E0,-1.364822388E-1,1.970466614E0
1.244049000E-1,4.545033455E0,-5.807666779E-1,1.671021461E0
1.292288070E-1,4.798730850E0,-9.226169586E-1,1.298647881E0
1.340527650E-1,4.919153690E0,-1.106892586E0,1.288699150E0
1.388766190E-1,4.960494995E0,-1.357943058E0,1.072688103E0
1.437006290E-1,5.215735435E0,-1.625385761E0,7.756185532E-1
1.485244840E-1,5.391748428E0,-1.892360210E0,5.624542236E-1
1.533484420E-1,5.618178844E0,-2.248074532E0,3.456621170E-1
1.581724000E-1,5.753700733E0,-2.663384914E0,1.700782776E-1
1.629963070E-1,5.793733597E0,-3.197919369E0,4.950046539E-2
1.678202650E-1,5.657993793E0,-3.727568626E0,-2.280921936E-1
1.726441710E-1,5.514647007E0,-4.211210728E0,-5.012321472E-1
1.774681290E-1,5.614135742E0,-4.687470436E0,-4.535198212E-1
1.822920360E-1,5.624709129E0,-5.488671303E0,-5.395908356E-1
1.871159420E-1,5.762520313E0,-5.831124783E0,-5.754232407E-1
1.919399000E-1,5.794178009E0,-6.224205494E0,-4.798965454E-1
1.967638070E-1,5.907028198E0,-6.517209530E0,-3.841695786E-1
2.015877650E-1,5.920419693E0,-6.925519943E0,-2.581634521E-1
2.064116710E-1,5.716238022E0,-7.138224602E0,-1.856985092E-1
2.112355770E-1,5.652509689E0,-7.324909210E0,-3.981056213E-1
2.160595360E-1,5.728551388E0,-7.429647923E0,-3.976964951E-1
2.208834420E-1,5.753956795E0,-7.558411598E0,-4.397153854E-1
2.257074000E-1,5.769598007E0,-7.725761414E0,-4.953050613E-1
2.305313070E-1,5.748454094E0,-7.850433350E0,-5.148229599E-1
2.353552650E-1,5.693212509E0,-7.953741074E0,-6.168937683E-1
2.401791710E-1,5.609276295E0,-8.082191467E0,-6.762943268E-1
2.450031290E-1,5.507144451E0,-8.183248520E0,-6.308078766E-1
2.498270360E-1,5.343981266E0,-8.231101036E0,-6.268024445E-1
2.546509420E-1,5.211538792E0,-8.200984001E0,-5.847978592E-1
2.594749000E-1,5.150338173E0,-8.157235146E0,-5.743684769E-1
2.642988070E-1,4.950464249E0,-8.015325546E0,-5.458383560E-1
2.691227650E-1,4.999430656E0,-8.282655716E0,-5.409383774E-1
2.739466710E-1,5.519372940E0,-8.359998703E0,-3.061103821E-1
2.787705770E-1,5.623309612E0,-8.388422012E0,-2.500705719E-1
2.835945360E-1,5.567122936E0,-8.553675652E0,-3.523807526E-1
