set,T_s,rpm_raw
1,0,
1,2,2446
1,1.8,2388
1,1.5,2412
1,1.8,2391
1,1.9,2369
1,1.3,2351
2,0,1743
2,2,1504
2,2.3,1413
2,2.1,1402
2,2.8,1410
2,3,1460
2,3.1,1459
2,2.2,1426
2,2.1,1405
2,3.1,1393
2,2.9,1387
2,2.3,1370
3,0,2646
3,1.8,2512
3,1.5,2460
3,1.6,2383
3,2,2435
3,2,2338
3,2,2348
3,2,2319
3,2,2401
4,0,2263
4,2,2163
4,1.7,2127
4,1.9,2090
4,1.9,2127
4,1.9,2105
4,2,2064
4,1.9,2020
4,2.1,2058
4,1.8,2014
4,2.1,1983
4,1.8,1965
4,2,1958
4,1.7,1937
4,2.3,1920
5,0,1877
5,2.1,1792
5,2.2,1781
5,2.2,1742
5,2.2,1748
5,1.9,1702
5,2.5,1641
5,2.3,1637
5,2.4,1595
5,2.5,1665
6,0,1522
6,2.2,1449
6,2.6,1489
6,2.8,1414
6,2.5,1379
6,2.5,1350
6,2.6,1338
6,1.7,1331
6,2.7,1335
6,2.5,1326
7,0,2453
7,2,2364
7,1.7,2562
7,1.5,2285
7,1.8,2297
7,1.7,2255
7,1.9,2327
7,2.2,2178
7,1.7,2223
7,1.8,2186
7,1.8,2193
7,1.7,2172
7,1.1,2088
8,0,2139
8,2.1,2029
8,2,1987
8,2.3,1995
8,2.2,1983
8,2.2,1952
8,1.9,1919
8,2.1,1938
8,2.3,1891
8,2.5,1886
8,2.3,1881
8,1.8,1866
8,1.4,1859
9,0,1424
9,2.5,1266
9,3.3,1217
9,4,1139
9,3.6,1117
9,3.5,1096
9,2.9,1041
9,2.8,1021
10,0,2206
10,2.9,2231
10,2.1,2188
10,2,2165
10,1.8,2151
10,2.4,2128
10,2.4,2108
10,1.9,2087
10,2.2,2077
10,2.9,2054
